Mass[GeV]		rtt		rtc		sigma(cgbh)[pb]		      sigma(bgth)[pb]		    sigma(bgth)/sigma(cgbh)	
500 			1.0 		0.1 		8.148e-02			1.357e-03 			0.02
500 			1.0 		0.4 		1.046e+00			2.200e-02 			0.02
500 			1.0 		0.6 		2.028e+00			4.852e-02 			0.02
500 			1.0 		1.0 		3.187e+00			1.273e-01 			0.04
600 			0.1 		0.1 		1.572e-02			6.886e-04 			0.04
600 			0.1 		0.4 		2.690e-02 		1.063e-02 			2.37
600 			0.1 		0.6 		2.278e-02		  2.524e-02 			5.43
600 			0.1 		1.0 		3.069e-02			6.783e-02 			2.21
600 			0.4 		0.1 		3.218e-02			7.016e-04 			0.02
600 			0.4 		0.4 		2.474e-01			1.145e-02 			0.05
600 			0.4 		0.6 		3.366e-01			2.416e-02 			0.07
600 			0.4 		1.0 		4.325e-01			6.949e-02 			0.16
600 			0.6 		0.1 		3.436e-02			7.082e-04 			0.02
600 			0.6 		0.4 		3.790e-01			1.133e-02 			0.03
600 			0.6 		0.6 		5.781e-01			4.827e-03 			0.01
600 			0.6 		1.0 		7.868e-01			6.616e-02 			0.08
600 			1.0 		0.1 		3.265e-02			6.766e-04 			0.02
600 			1.0 		0.4 		4.525e-01			1.163e-02 			0.17
600 			1.0 		0.6 		8.725e-01			2.445e-02 			0.03
600 			1.0 		1.0 		1.530e+00			6.885e-02 			0.04
700                     0.1             0.1             7.744e-03                       3.390e-04                       0.04
700                     0.1             0.4             1.433e-02                       6.303e-03                       0.44
700                     0.1             0.6             1.437e-02                       1.408e-02                       0.98
700                     0.1             1.0             1.525e-02                       4.221e-02                       2.77
700                     0.4             0.1             1.559e-02                       3.612e-04                       0.02
700                     0.4             0.4             1.281e-01                       5.857e-03                       0.05
700                     0.4             0.6             1.628e-01                       1.351e-02                       0.08
700                     0.4             1.0             2.050e-01                       3.976e-02                       0.19
700                     0.6             0.1             1.643e-02                       3.814e-04                       0.02
700                     0.6             0.4             1.838e-01                       6.288e-03                       0.03
700                     0.6             0.6             2.917e-01                       1.440e-02                       0.05
700                     0.6             1.0             4.175e-01                       3.882e-02                       0.09
700                     1.0             0.1             1.598e-02                       4.010e-04                       0.02
700                     1.0             0.4             2.349e-01                       5.957e-03                       0.02
700                     1.0             0.6             4.426e-01                       1.484e-02                       0.03
700                     1.0             1.0             8.164e-01                       3.992e-02                       0.05
800 			0.1 		0.1 		3.904e-03			2.201e-04 			0.06
800 			0.1 		0.4 		7.392e-03			3.551e-03 			0.48
800 			0.1 		0.6 		7.654e-03			8.614e-03 			1.13
800 			0.1 		1.0 		8.287e-03			2.434e-02 			2.94
800 			0.4 		0.1 		8.277e-03			2.128e-04 			0.03
800 			0.4 		0.4 		6.612e-02			3.610e-03 			0.05
800 			0.4 		0.6 		9.065e-02			8.172e-03 			0.09
800 			0.4 		1.0 		1.124e-01			2.350e-02 			0.21
800 			0.6 		0.1 		8.388e-03			1.980e-04 			0.02
800 			0.6 		0.4 		9.575e-02			3.615e-03 			0.04
800 			0.6 		0.6 		1.472e-01			8.046e-03 			0.05
800 			0.6 		1.0 		2.308e-01			2.409e-02 			0.10
800 			1.0 		0.1 		9.015e-03			2.045e-04 			0.02
800 			1.0 		0.4 		1.162e-01			3.412e-03 			0.03
800 			1.0 		0.6 		2.449e-01			7.481e-03 			0.03
800 			1.0 		1.0 		4.334e-01			2.292e-02 			0.05
900 			0.1 		0.1 		2.297e-03			1.329e-04 			0.06
900 			0.1 		0.4 		4.144e-03			2.300e-03 			0.56
900 			0.1 		0.6 		4.646e-03			4.958e-03 			1.07
900 			0.1 		1.0 		4.725e-03			1.460e-02 			3.09
900 			0.4 		0.1 		3.958e-03			1.283e-04 			0.03
900 			0.4 		0.4 		3.400e-02			2.022e-03 			0.06
900 			0.4 		0.6 		5.205e-02			5.251e-03 			0.10
900 			0.4 		1.0 		6.508e-02			1.542e-02 			0.24
900 			0.6 		0.1 		4.650e-03			1.311e-04 			0.03
900 			0.6 		0.4 		4.865e-02			2.011e-03 			0.04
900 			0.6 		0.6 		8.444e-02			4.841e-03 			0.06
900 			0.6 		1.0 		1.308e-01			1.351e-02 			0.10
900 			1.0 		0.1 		5.101e-03			1.304e-04 			0.03
900 			1.0 		0.4 		6.687e-02			1.845e-03 			0.03
900 			1.0 		0.6 		1.284e-01			4.583e-03 			0.04
900 			1.0 		1.0 		2.483e-01			1.439e-02 			0.06
1000 			0.1 		0.1 		1.244e-03			7.868e-05 			0.06
1000 			0.1 		0.4 		2.320e-03			1.372e-03 			0.59
1000 			0.1 		0.6 		2.508e-03			3.172e-03 			1.26
1000 			0.1 		1.0 		2.760e-03			9.288e-03 			3.37
1000 			0.4 		0.1 		2.482e-03			7.825e-05 			0.03
1000 			0.4 		0.4 		1.979e-02			1.228e-03 			0.06
1000 			0.4 		0.6 		2.755e-02			2.961e-03 			0.11
1000 			0.4 		1.0 		3.765e-02			8.780e-03 			0.23
1000 			0.6 		0.1 		2.517e-03			7.748e-05 			0.03
1000 			0.6 		0.4 		3.131e-02			1.246e-03 			0.04
1000 			0.6 		0.6 		4.556e-02			2.931e-03 			0.06
1000 			0.6 		1.0 		7.127e-02			9.041e-03 			0.13
1000 			1.0 		0.1 		2.903e-03			7.931e-05 			0.03
1000 			1.0 		0.4 		3.995e-02			1.307e-03 			0.03
1000 			1.0 		0.6 		7.689e-02			3.055e-03 			0.04
1000 			1.0 		1.0 		1.425e-01			8.754e-03 			0.06
